year,state,quarter,totalRXImputed
2018,UT,2,35735
2018,UT,3,35217
2018,UT,4,32966
2018,VA,1,104611
2018,VA,2,129859
2018,VA,3,161329
2018,VA,4,208939
2018,WA,1,191570
2018,WA,2,184567
2018,WA,3,179211
2018,WA,4,170805
2018,WV,1,78620
2018,WV,2,74417
2018,WV,3,68513
2018,WV,4,61344
2018,WY,1,7685
2018,WY,2,7083
2018,WY,3,6962
2018,WY,4,6311
2019,AK,1,19873
2019,AK,2,19389
2019,AK,3,18981
2019,AK,4,16642
2019,AZ,1,149841
2019,AZ,2,145123
2019,AZ,3,139529
2019,AZ,4,135160
2019,CO,1,104198
2019,CO,2,109225
2019,CO,3,112384
2019,CO,4,98207
2019,CT,1,73171
2019,CT,2,72227
2019,CT,3,69264
2019,CT,4,65039
2019,DE,1,27237
2019,DE,2,27843
2019,DE,3,27268
2019,DE,4,24927
2019,FL,1,178997
2019,FL,2,179270
2019,FL,3,174214
2019,FL,4,163830
2019,HI,1,23257
2019,HI,2,22028
2019,HI,3,21481
2019,HI,4,19762
2019,IL,1,198696
2019,IL,2,201083
2019,IL,3,195047
2019,IL,4,176175
2019,IN,1,133199
2019,IN,2,136318
2019,IN,3,133363
2019,IN,4,127188
2019,KY,1,179420
2019,KY,2,175638
2019,KY,3,174971
2019,KY,4,166543
2019,LA,1,172889
2019,LA,2,158479
2019,LA,3,156039
2019,LA,4,145825
2019,MI,1,252504
2019,MI,2,247995
2019,MI,3,238097
2019,MI,4,223068
2019,MO,1,95607
2019,MO,2,92936
2019,MO,3,96178
2019,MO,4,87327
2019,MS,1,52261
2019,MS,2,51805
2019,MS,3,49123
2019,MS,4,43203
2019,NC,1,147049
2019,NC,2,123470
2019,NC,3,144654
2019,NC,4,135550
2019,NH,1,17840
2019,NH,2,13868
2019,NH,3,12073
2019,NH,4,10327
2019,NJ,1,127913
2019,NJ,2,129782
2019,NJ,3,128054
2019,NJ,4,121298
2019,NV,1,89356
2019,NV,2,84878
2019,NV,3,85838
2019,NV,4,83472
2019,NY,1,322678
2019,NY,2,294698
2019,NY,3,283896
2019,NY,4,269714
